"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"100_50ml-5","687.08","133.96","330.09","85.27","153.59","143.15","24.62","26.18","95.93","33.9","55.85","7.15","12.94","12.88","24.76","65.18","11.52","6.2","2272","36.1","24.1","2.36","7.9","0.17","0.23","0.59"
"100_50ml-5","681.69","134.92","337.34","81.05","152.09","136.83","19.61","22.5","84.37","33.9","61.84","6.08","12.13","12.08","23.05","59.65","11.52","5.31","2329","38.3","22.3","2","7.02","0.15","0.21","0.53"
"100_50ml-6","684.77","133.96","330.09","87.8","153.59","147.36","25.53","27","99.4","33.9","60.84","7.51","12.94","13.69","24.76","67.39","11.52","6.2","2270","36.1","24.1","2.36","7.9","0.17","0.23","0.59"
"100_50ml-6","681.69","134.92","337.34","87.8","152.09","149.46","20.97","24.14","92.46","33.9","61.84","6.8","12.94","13.69","23.05","67.39","11.52","6.2","2320","38.3","22.2","2","7.02","0.15","0.21","0.53"
"100_50ml-7","683.23","133","329.18","93.71","152.84","157.89","26.9","28.63","106.33","33.9","60.84","7.87","13.75","14.49","24.76","71.81","11.52","7.08","2285","36.1","24.1","2.36","7.9","0.17","0.23","0.59"
"100_50ml-7","681.69","134.92","337.34","86.11","152.09","148.06","20.97","23.73","92.46","33.9","61.84","6.44","12.94","13.69","23.05","62.97","11.52","6.2","2315","38.3","22.2","2","7.02","0.15","0.21","0.53"
"100_50ml-8","681.69","133","328.27","86.96","152.09","145.25","25.08","26.59","97.09","33.9","60.84","7.51","12.94","12.88","24.76","66.28","11.52","6.2","2283","36.1","24.1","2.37","7.87","0.17","0.23","0.59"
"100_50ml-8","681.69","134.92","337.34","77.67","152.09","133.33","18.7","21.68","83.22","33.9","55.85","6.08","11.33","12.08","23.05","57.44","11.52","5.31","2378","38.3","22.2","2","6.93","0.15","0.21","0.53"
"100_50ml-9","680.92","132.04","328.27","81.05","152.09","132.62","22.8","24.54","89","33.9","55.85","6.8","12.13","12.08","23.9","65.18","11.52","6.2","2221","36.1","24.1","2.38","7.87","0.17","0.23","0.6"
"100_50ml-9","681.69","134.92","336.43","85.27","152.09","147.36","20.97","23.73","91.31","33.9","61.84","6.44","12.94","12.88","23.05","62.97","11.52","6.2","2314","38.3","22.2","2","6.93","0.15","0.21","0.53"
"101_50ml-1","697.08","136.83","338.25","85.27","161.08","140.34","23.25","27.41","107.49","41.06","70.81","7.51","12.94","13.69","28.17","75.12","12.67","6.2","2366","38.5","29.8","3.34","7.45","0.22","0.3","0.76"
"101_50ml-10","692.46","135.87","335.53","90.34","159.58","151.57","25.08","29.45","116.74","40.68","71.81","7.87","14.56","14.49","28.17","80.64","12.67","6.2","2368","38.5","29.4","3.39","7.04","0.22","0.3","0.77"
"101_50ml-2","696.31","136.83","337.34","91.18","160.33","152.27","25.08","29.86","116.74","41.06","70.81","7.87","14.56","14.49","28.17","80.64","12.67","6.2","2364","38.5","29.6","3.35","7.45","0.22","0.3","0.76"
"101_50ml-3","695.54","136.83","337.34","90.34","160.33","150.17","24.62","29.45","115.58","41.06","70.81","7.87","14.56","14.49","28.17","79.54","12.67","6.2","2367","38.5","29.6","3.36","7.09","0.22","0.3","0.76"
"101_50ml-4","695.54","136.83","337.34","87.8","160.33","146.66","24.17","28.63","113.27","40.68","65.83","7.51","13.75","13.69","28.17","78.43","12.67","6.2","2366","38.5","29.7","3.37","7.09","0.22","0.3","0.76"
"101_50ml-5","694.77","136.83","336.43","89.49","159.58","149.46","24.62","29.04","115.58","40.68","70.81","7.87","14.56","14.49","28.17","79.54","12.67","6.2","2371","38.5","29.7","3.37","7.09","0.22","0.3","0.76"
"101_50ml-6","694.77","135.87","336.43","88.65","159.58","147.36","24.17","28.63","113.27","40.68","65.83","7.51","13.75","13.69","28.17","78.43","12.67","6.2","2369","38.5","29.6","3.37","7.09","0.22","0.3","0.76"
"101_50ml-7","694","135.87","336.43","83.58","159.58","138.94","23.25","27.41","107.49","40.68","70.81","7.51","12.94","12.88","28.17","75.12","12.67","6.2","2369","38.5","29.5","3.38","7.04","0.22","0.3","0.77"
"101_50ml-8","694","135.87","336.43","96.25","159.58","162.1","26.45","31.5","124.83","40.68","71.81","8.23","15.37","15.3","28.17","85.06","12.67","7.08","2372","38.5","29.5","3.38","7.04","0.22","0.3","0.77"
"101_50ml-9","693.23","135.87","336.43","96.25","159.58","162.1","26.45","31.5","124.83","40.68","70.81","8.23","15.37","15.3","28.17","85.06","12.67","7.08","2365","38.5","29.4","3.37","7.04","0.22","0.3","0.77"
"102_50ml-1","680.92","129.17","326.46","87.8","149.09","148.06","22.8","25.77","93.62","34.65","57.85","7.15","12.94","12.88","23.05","65.18","11.52","6.2","2356","37.5","30.4","2.34","7.32","0.17","0.23","0.59"
"102_50ml-10","679.38","130.13","327.36","83.58","149.09","142.45","21.43","24.54","89","34.65","52.86","6.8","12.13","12.88","23.05","59.65","11.52","6.2","2355","37.5","30","2.41","8.02","0.17","0.24","0.6"
"102_50ml-2","680.15","130.13","326.46","83.58","149.09","142.45","21.89","24.95","89","34.65","52.86","6.8","12.13","12.88","23.05","59.65","11.52","5.31","2356","37.5","30.4","2.35","7.32","0.17","0.23","0.59"
"102_50ml-3","680.15","129.17","326.46","87.8","149.09","148.76","22.8","26.18","93.62","34.65","57.85","7.15","12.94","12.88","23.05","65.18","11.52","6.2","2346","37.5","30.3","2.36","7.23","0.17","0.23","0.59"
"102_50ml-4","680.15","129.17","326.46","85.27","149.09","145.25","22.34","25.36","91.31","34.65","58.84","6.8","12.13","12.88","23.05","60.76","11.52","6.2","2354","37.5","30.3","2.37","7.23","0.17","0.23","0.59"
"102_50ml-5","680.15","129.17","326.46","83.58","149.09","143.15","21.89","24.95","89","34.65","52.86","6.8","12.13","12.88","23.05","59.65","11.52","6.2","2352","37.5","30.3","2.38","7.23","0.17","0.23","0.6"
"102_50ml-6","680.15","130.13","326.46","83.58","148.34","142.45","21.89","24.54","89","34.65","53.86","6.8","12.13","12.88","23.05","59.65","11.52","6.2","2354","37.5","30.2","2.39","7.23","0.17","0.24","0.6"
"102_50ml-7","680.15","129.17","326.46","86.96","149.09","145.96","22.34","25.36","91.31","34.65","57.85","7.15","12.94","12.88","23.05","65.18","11.52","6.2","2354","37.5","30.2","2.39","8.02","0.17","0.24","0.6"
"102_50ml-8","680.15","129.17","326.46","86.11","149.09","147.36","22.34","25.36","92.46","34.65","57.85","6.8","12.94","12.88","23.05","61.86","11.52","6.2","2353","37.5","30.1","2.39","8.02","0.17","0.24","0.6"
"102_50ml-9","680.15","130.13","326.46","83.58","149.09","143.15","21.89","24.54","89","34.65","52.86","6.8","12.13","12.88","23.05","59.65","11.52","6.2","2356","37.5","30","2.4","8.02","0.17","0.24","0.6"
"104_50ml-1","680.15","133.96","330.09","84.43","150.59","143.15","24.17","27.82","98.24","40.3","61.84","7.15","12.94","13.69","25.61","71.81","12.1","6.2","2388","38.1","24.2","2","7.57","0.15","0.21","0.53"
"104_50ml-10","679.38","133","328.27","85.27","149.84","143.15","24.17","27.82","98.24","39.93","61.84","7.15","12.94","13.69","24.76","70.7","12.1","6.2","2402","38.1","23.8","2","7","0.15","0.21","0.53"
"104_50ml-2","679.38","133.96","330.09","85.27","149.84","143.85","24.17","27.82","98.24","39.93","61.84","7.15","12.94","13.69","25.61","71.81","12.1","6.2","2303","38.1","24.2","2","7.57","0.15","0.21","0.53"
"104_50ml-3","679.38","133.96","329.18","79.36","150.59","132.62","22.34","25.77","91.31","39.93","61.84","6.8","12.13","12.88","24.76","67.39","12.1","5.31","2383","38.1","24","2","7.57","0.15","0.21","0.53"
"104_50ml-4","679.38","133.96","329.18","81.05","149.84","132.62","22.8","26.18","91.31","39.93","61.84","6.8","12.13","12.88","24.76","70.7","12.1","6.2","2394","38.1","24","2","7.12","0.15","0.21","0.53"
"104_50ml-5","679.38","133.96","329.18","84.43","150.59","143.15","24.17","27.82","98.24","39.93","61.84","7.15","12.94","13.69","24.76","71.81","12.1","6.2","2379","38.1","24","2","7.12","0.15","0.21","0.53"
"104_50ml-6","680.15","133.96","329.18","92.87","150.59","157.89","26.45","30.68","108.64","39.93","67.82","7.87","14.56","15.3","24.76","77.33","12.1","6.2","2383","38.1","23.9","2","7.12","0.15","0.21","0.53"
"104_50ml-7","679.38","133","329.18","84.43","150.59","143.15","24.17","27.82","98.24","39.93","61.84","7.15","12.94","13.69","24.76","71.81","12.1","6.2","2387","38.1","23.8","2","7.12","0.15","0.21","0.53"
"104_50ml-8","679.38","133.96","328.27","92.87","149.84","157.18","26.45","30.27","107.49","39.93","67.82","7.87","14.56","15.3","24.76","77.33","12.1","6.2","2429","38.1","23.8","2","7","0.15","0.21","0.53"
"104_50ml-9","679.38","133","328.27","83.58","149.84","140.34","23.71","27.41","95.93","39.93","61.84","7.15","12.94","13.69","24.76","70.7","12.1","6.2","2379","38.1","23.8","2","7","0.15","0.21","0.53"
"106_50ml-1","767.09","155.97","376.33","103","185.8","157.18","21.43","25.77","131.76","38.04","80.79","8.59","16.18","15.3","36.71","118.2","16.71","7.08","2541","35.7","25.9","2.14","7.27","0.16","0.22","0.55"
"106_50ml-10","767.09","155.97","377.24","103","185.8","158.59","21.43","25.77","134.07","37.67","81.78","8.59","16.18","16.1","37.56","118.2","16.71","7.08","2535","35.7","25.6","2.18","7.92","0.16","0.22","0.56"
"106_50ml-2","767.09","155.97","376.33","106.38","185.05","162.8","22.34","26.18","136.38","38.04","86.77","8.59","16.99","16.1","36.71","121.52","16.71","7.08","2544","35.7","25.7","2.15","7.27","0.16","0.22","0.56"
"106_50ml-3","766.32","155.97","376.33","106.38","185.05","162.8","22.34","26.59","137.54","38.04","86.77","8.59","16.99","16.1","36.71","121.52","16.71","7.08","2537","35.7","25.7","2.16","7.27","0.16","0.22","0.56"
"106_50ml-4","765.56","155.97","377.24","96.25","185.8","145.96","20.06","23.73","122.51","38.04","81.78","7.87","15.37","14.49","37.56","111.58","16.71","6.2","2595","35.7","25.7","2.16","7.97","0.16","0.22","0.56"
"106_50ml-5","766.32","155.97","377.24","103.84","185.8","158.59","21.89","25.77","132.92","38.04","81.78","8.59","16.99","16.1","37.56","119.31","16.71","7.08","2538","35.7","25.7","2.16","7.97","0.16","0.22","0.56"
"106_50ml-6","766.32","155.97","377.24","98.78","185.8","150.87","20.52","24.54","127.14","38.04","86.77","8.23","16.18","15.3","37.56","113.79","16.71","6.2","2546","35.7","25.7","2.17","7.97","0.16","0.22","0.56"
"106_50ml-7","766.32","155.97","378.15","96.25","185.8","148.06","20.06","24.14","124.83","37.67","81.78","7.87","15.37","14.49","37.56","111.58","16.71","6.2","2541","35.7","25.6","2.17","7.97","0.16","0.22","0.56"
"106_50ml-8","767.09","155.97","378.15","103","185.8","158.59","21.43","25.77","134.07","37.67","81.78","8.59","16.99","16.1","37.56","119.31","16.71","7.08","2541","35.7","25.6","2.18","7.92","0.16","0.22","0.56"
"106_50ml-9","767.86","155.97","378.15","104.69","185.8","161.39","22.34","26.18","136.38","37.67","86.77","8.59","16.99","16.1","37.56","120.41","16.71","7.08","2542","35.7","25.6","2.18","7.92","0.16","0.22","0.56"
"11_50ml-1","879.43","177.97","440.72","109.75","210.52","184.55","26.9","32.32","153.72","44.82","93.75","8.94","19.42","18.52","40.98","155.76","16.71","7.08","2131","36.3","21.1","2","7.04","0.15","0.21","0.53"
"11_50ml-10","862.5","176.06","433.46","109.75","206.78","184.55","27.36","32.73","156.03","45.2","92.76","9.3","20.22","18.52","40.98","154.66","16.71","7.08","2156","36.3","20.8","2","7.87","0.15","0.21","0.53"
"11_50ml-2","874.81","177.97","438.9","105.53","209.78","179.64","26.45","31.09","150.25","44.82","86.77","8.59","19.42","17.71","40.13","143.61","16.71","6.2","2122","36.3","21.1","2","7.04","0.15","0.21","0.53"
"11_50ml-3","874.04","177.97","438.9","108.07","209.03","183.15","26.9","32.32","153.72","45.2","93.75","8.94","19.42","18.52","40.98","148.03","17.28","7.08","2130","36.3","21","2","7.04","0.15","0.21","0.53"
"11_50ml-4","870.19","177.02","438","106.38","209.03","179.64","25.99","31.5","150.25","45.2","86.77","8.59","19.42","16.91","40.13","142.51","16.71","6.2","2145","36.3","21","2","7.04","0.15","0.21","0.53"
"11_50ml-5","867.89","177.97","437.09","108.07","208.28","183.85","26.9","32.32","153.72","45.2","92.76","8.94","19.42","17.71","40.13","145.82","16.71","7.08","2128","36.3","21","2","7.84","0.15","0.21","0.53"
"11_50ml-6","867.12","177.02","437.09","108.91","208.28","183.85","26.9","32.32","154.88","45.2","92.76","8.94","19.42","17.71","40.13","145.82","16.71","7.08","2137","36.3","21","2","7.84","0.15","0.21","0.53"
"11_50ml-7","865.58","177.02","437.09","108.91","208.28","184.55","26.9","32.32","156.03","45.2","92.76","8.94","19.42","17.71","40.13","146.93","16.71","7.08","2123","36.3","20.8","2","7.84","0.15","0.21","0.53"
"11_50ml-8","864.81","176.06","435.28","105.53","207.53","178.94","26.45","31.5","151.41","45.2","87.77","8.94","19.42","17.71","40.13","142.51","16.71","6.2","2105","36.3","20.8","2","7.84","0.15","0.21","0.53"
"11_50ml-9","864.04","176.06","434.37","107.22","207.53","181.74","27.36","32.32","153.72","45.2","93.75","9.3","19.42","18.52","40.98","145.82","16.71","7.08","2153","36.3","20.8","2","7.87","0.15","0.21","0.53"
"115_50ml-1","691.69","135.87","339.15","85.27","158.08","146.66","22.8","27.41","106.33","39.17","67.82","7.15","14.56","14.49","29.03","91.69","12.1","6.2","2363","35.2","20.8","2","7.67","0.15","0.21","0.53"
"115_50ml-10","687.85","134.92","337.34","85.27","156.58","146.66","22.8","27.41","106.33","39.17","67.82","7.51","14.56","14.49","29.03","90.59","12.67","6.2","2354","35.2","21.4","2","7.46","0.15","0.21","0.53"
"115_50ml-2","690.92","134.92","338.25","85.27","158.08","147.36","22.8","27.41","106.33","39.17","67.82","7.15","14.56","14.49","28.17","91.69","12.1","6.2","2355","35.2","20.8","2","7.67","0.15","0.21","0.53"
"115_50ml-3","690.15","134.92","339.15","87.8","158.08","151.57","23.71","28.23","109.8","39.17","71.81","7.51","14.56","14.49","29.03","93.9","12.67","6.2","2335","35.2","20.9","2","7.01","0.15","0.21","0.53"
"115_50ml-4","690.15","134.92","339.15","87.8","157.33","151.57","23.71","28.23","109.8","39.17","72.81","7.51","14.56","14.49","29.03","92.8","12.67","6.2","2354","35.2","20.9","2","7.01","0.15","0.21","0.53"
"115_50ml-5","689.38","134.92","338.25","82.74","157.33","141.04","21.89","26.59","102.87","39.17","72.81","7.15","13.75","13.69","28.17","88.38","12.67","6.2","2335","35.2","21.1","2","7.01","0.15","0.21","0.53"
"115_50ml-6","688.61","134.92","338.25","86.96","157.33","150.17","23.71","28.23","108.64","39.17","72.81","7.51","14.56","14.49","29.03","92.8","12.67","6.2","2356","35.2","21.2","2","7.01","0.15","0.21","0.53"
"115_50ml-7","688.61","134.92","338.25","86.96","157.33","150.87","23.71","28.23","109.8","39.17","72.81","7.51","14.56","14.49","29.03","93.9","12.67","6.2","2345","35.2","21.2","2","7.46","0.15","0.21","0.53"
"115_50ml-8","688.61","134.92","338.25","86.96","157.33","150.87","23.71","28.23","109.8","39.17","72.81","7.51","15.37","14.49","29.03","93.9","12.67","6.2","2357","35.2","21.3","2","7.46","0.15","0.21","0.53"
"115_50ml-9","687.85","134.92","337.34","87.8","156.58","151.57","23.71","28.23","109.8","39.17","72.81","7.51","15.37","14.49","29.03","93.9","12.67","6.2","2363","35.2","21.4","2","7.46","0.15","0.21","0.53"
"121_50ml-1","710.93","140.66","349.13","87.8","161.83","150.17","25.08","29.04","115.58","39.93","69.82","7.87","14.56","14.49","29.03","85.06","12.67","6.2","2311","37.9","28.2","2.73","7.7","0.19","0.26","0.66"
"121_50ml-10","698.62","137.79","342.78","87.8","158.83","148.06","25.08","28.63","114.42","39.55","68.82","7.87","14.56","14.49","29.03","83.96","13.25","6.2","2293","37.9","27.8","2.82","7.15","0.19","0.26","0.67"
"121_50ml-2","707.85","139.7","347.31","88.65","161.08","150.17","25.08","29.04","115.58","39.55","69.82","7.87","14.56","14.49","29.03","85.06","12.67","6.2","2298","37.9","28.2","2.75","7.7","0.19","0.26","0.66"
"121_50ml-3","704.77","139.7","346.41","87.8","161.08","149.46","25.08","29.04","115.58","39.55","69.82","7.87","14.56","14.49","29.03","85.06","13.25","6.2","2302","37.9","28.1","2.76","7.26","0.19","0.26","0.66"
"121_50ml-4","704","139.7","344.59","91.18","160.33","152.27","25.53","29.45","117.89","39.55","74.8","8.23","14.56","15.3","29.03","87.27","13.25","6.2","2287","37.9","28.1","2.77","7.26","0.19","0.26","0.66"
"121_50ml-5","701.69","138.74","343.69","89.49","160.33","152.97","25.53","29.45","117.89","39.55","74.8","8.23","14.56","15.3","29.03","87.27","13.25","6.2","2284","37.9","28","2.77","7.26","0.19","0.26","0.66"
"121_50ml-6","700.93","138.74","344.59","86.96","160.33","148.76","25.08","28.63","114.42","39.55","69.82","7.87","14.56","14.49","29.03","85.06","13.25","6.2","2293","37.9","28","2.79","7.26","0.19","0.26","0.67"
"121_50ml-7","700.16","138.74","343.69","89.49","159.58","151.57","25.53","29.45","116.74","39.55","74.8","7.87","14.56","14.49","29.03","86.17","12.67","6.2","2289","37.9","28","2.8","7.15","0.19","0.26","0.67"
"121_50ml-8","699.39","138.74","342.78","88.65","159.58","151.57","25.53","29.45","116.74","39.55","74.8","7.87","14.56","14.49","29.03","86.17","13.25","6.2","2291","37.9","27.9","2.8","7.15","0.19","0.26","0.67"
"121_50ml-9","699.39","138.74","342.78","82.74","159.58","138.24","23.25","27","106.33","39.55","68.82","7.51","13.75","13.69","29.03","83.96","13.25","6.2","2297","37.9","27.8","2.81","7.15","0.19","0.26","0.67"
"13_50ml-1","670.92","134.92","348.22","91.18","167.82","156.48","21.43","24.14","95.93","33.9","63.83","6.8","13.75","14.49","23.9","66.28","10.95","6.2","2380","36.7","22.2","2.04","7.58","0.15","0.21","0.54"
"13_50ml-10","677.07","132.04","340.97","82.74","158.83","145.96","20.06","22.91","90.15","33.52","63.83","6.44","14.56","13.69","23.9","62.97","10.95","6.2","2372","36.7","21.9","2.09","7.92","0.16","0.21","0.55"
"13_50ml-2","673.23","133","342.78","89.49","167.07","154.38","20.97","23.73","93.62","33.9","58.84","6.8","13.75","13.69","23.9","65.18","10.95","6.2","2385","36.6","22.3","2.05","7.58","0.16","0.21","0.54"
"13_50ml-3","673.23","133","340.06","88.65","165.57","154.38","20.97","23.73","93.62","33.52","58.84","6.8","13.75","13.69","23.9","65.18","10.95","6.2","2373","36.7","22","2.08","7.58","0.16","0.21","0.54"
"13_50ml-4","670.15","132.04","339.15","90.34","164.07","158.59","21.43","24.54","97.09","33.9","63.83","6.8","14.56","14.49","23.9","66.28","10.95","6.2","2314","36.7","22","2.09","7.58","0.16","0.21","0.55"
"13_50ml-5","669.38","132.04","340.06","88.65","162.58","157.18","21.43","24.54","95.93","33.52","63.83","6.8","14.56","14.49","23.9","66.28","10.95","6.2","2386","36.7","22","2.09","7.97","0.16","0.21","0.55"
"13_50ml-6","670.15","131.09","339.15","89.49","160.33","157.89","21.43","24.54","97.09","33.52","63.83","6.8","14.56","14.49","23.9","66.28","10.95","6.2","2385","36.7","22","2.09","7.97","0.16","0.21","0.55"
"13_50ml-7","670.15","131.09","340.06","86.96","159.58","152.97","20.97","23.73","94.78","33.52","58.84","6.8","14.56","14.49","23.9","65.18","10.95","6.2","2385","36.7","22","2.08","7.97","0.16","0.21","0.55"
"13_50ml-8","671.69","131.09","341.87","86.96","159.58","152.97","20.97","24.14","94.78","33.52","58.84","6.8","15.37","14.49","23.9","65.18","10.95","6.2","2386","36.7","21.9","2.09","7.97","0.16","0.21","0.55"
"13_50ml-9","673.23","131.09","341.87","89.49","158.83","155.78","21.89","24.54","95.93","33.52","63.83","7.15","15.37","14.49","23.9","69.6","10.95","6.2","2379","36.7","21.9","2.09","7.92","0.16","0.21","0.55"
"137_50ml-1","677.07","130.13","323.74","86.11","149.84","142.45","24.17","27.82","104.02","39.17","68.82","7.15","12.94","13.69","26.47","82.85","11.52","6.2","2368","36","25.8","2.28","7.88","0.17","0.23","0.58"
"137_50ml-10","675.54","130.13","323.74","87.8","149.09","143.15","24.17","27.82","105.18","39.17","68.82","7.51","12.94","13.69","26.47","82.85","11.52","6.2","2356","36","25.6","2.29","7.97","0.17","0.23","0.58"
"137_50ml-2","676.3","130.13","323.74","86.96","149.09","144.55","24.17","27.82","106.33","39.17","68.82","7.51","12.94","13.69","26.47","82.85","11.52","6.2","2313","36","25.7","2.28","8.07","0.17","0.23","0.58"
"137_50ml-3","677.07","130.13","323.74","86.96","149.09","144.55","24.17","27.82","106.33","39.17","68.82","7.51","12.94","13.69","26.47","83.96","11.52","6.2","2357","36","25.7","2.29","8.07","0.17","0.23","0.58"
"137_50ml-4","676.3","130.13","323.74","81.05","149.09","134.03","22.34","26.18","98.24","39.17","68.82","6.8","12.13","12.88","26.47","78.43","11.52","6.2","2357","36","25.7","2.29","8.07","0.17","0.23","0.58"
"137_50ml-5","676.3","130.13","323.74","84.43","149.09","140.34","23.71","27","102.87","39.17","63.83","7.15","12.94","12.88","26.47","81.75","11.52","6.2","2346","36","25.7","2.29","8.07","0.17","0.23","0.58"
"137_50ml-6","675.54","130.13","323.74","86.11","149.09","143.15","24.17","27.82","105.18","39.17","68.82","7.51","12.94","13.69","26.47","82.85","11.52","6.2","2341","36","25.6","2.28","8.02","0.17","0.23","0.58"
"137_50ml-7","676.3","130.13","323.74","86.96","149.09","144.55","24.17","27.82","106.33","39.17","68.82","7.51","12.94","13.69","26.47","82.85","11.52","6.2","2352","36","25.6","2.29","8.02","0.17","0.23","0.58"
"137_50ml-8","675.54","130.13","323.74","86.11","149.09","143.15","24.17","27.82","105.18","39.17","69.82","7.51","12.94","13.69","26.47","82.85","11.52","6.2","2356","36","25.6","2.29","8.02","0.17","0.23","0.58"
"137_50ml-9","675.54","130.13","323.74","86.96","149.09","144.55","24.17","27.82","106.33","39.17","68.82","7.51","12.94","13.69","26.47","82.85","11.52","6.2","2357","36","25.6","2.28","8.02","0.17","0.23","0.58"
"140_50ml-1","697.85","136.83","334.62","88.65","157.33","147.36","23.25","26.59","115.58","36.91","76.8","7.87","13.75","13.69","29.03","89.48","12.67","6.2","2415","37.9","32.8","2.64","7.32","0.18","0.25","0.64"
"140_50ml-10","695.54","136.83","332.81","89.49","156.58","148.76","23.25","27","116.74","37.29","75.8","7.87","13.75","14.49","29.03","88.38","12.67","6.2","2357","37.9","29.7","2.74","7.03","0.19","0.26","0.66"
"140_50ml-2","698.62","136.83","333.71","90.34","157.33","150.17","23.71","27.41","119.05","37.29","75.8","7.87","14.56","14.49","29.03","90.59","12.67","6.2","2356","37.9","30.8","2.36","7.32","0.17","0.23","0.59"
"140_50ml-3","697.08","137.79","333.71","88.65","157.33","147.36","23.25","27","116.74","37.29","75.8","7.87","13.75","14.49","29.03","88.38","12.67","6.2","2369","37.9","31.4","2.75","7.32","0.19","0.26","0.66"
"140_50ml-4","696.31","136.83","333.71","89.49","156.58","148.76","23.71","27.41","117.89","37.29","75.8","7.87","13.75","14.49","29.03","89.48","12.67","6.2","2359","37.9","31.4","2.74","7.32","0.19","0.26","0.66"
"140_50ml-5","695.54","136.83","333.71","90.34","156.58","150.17","23.71","27.41","117.89","37.29","75.8","7.87","13.75","14.49","29.03","89.48","12.67","6.2","2339","37.9","31.4","2.74","7.32","0.19","0.26","0.66"
"140_50ml-6","695.54","136.83","333.71","90.34","156.58","150.17","23.71","27.41","119.05","37.29","75.8","7.87","14.56","14.49","29.03","89.48","12.67","6.2","2360","37.9","29.9","2.72","7.12","0.19","0.26","0.65"
"140_50ml-7","694.77","136.83","333.71","86.96","156.58","144.55","22.8","26.18","114.42","36.91","69.82","7.51","13.75","13.69","29.03","87.27","12.67","6.2","2357","37.9","29.9","2.73","7.12","0.19","0.26","0.66"
"140_50ml-8","695.54","136.83","333.71","87.8","156.58","144.55","22.8","26.59","114.42","37.29","69.82","7.51","13.75","13.69","29.03","87.27","12.67","6.2","2355","37.9","29.7","2.73","7.12","0.19","0.26","0.66"
"140_50ml-9","695.54","136.83","332.81","95.4","156.58","159.99","25.08","29.04","125.98","36.91","75.8","8.23","15.37","15.3","29.03","95","12.67","7.08","2357","37.9","29.7","2.73","7.03","0.19","0.26","0.66"
"142_50ml-1","709.39","146.4","361.82","92.87","167.82","157.89","28.73","31.91","120.2","42.19","91.76","8.23","15.37","15.3","29.88","98.32","12.67","6.2","2287","38.5","38.2","4.09","7.1","0.26","0.35","0.89"
"142_50ml-10","710.93","146.4","361.82","89.49","167.07","151.57","27.36","30.68","115.58","42.19","84.78","7.87","14.56","14.49","29.88","95","12.67","6.2","2281","38.5","36.8","4.11","6.97","0.26","0.35","0.89"
"142_50ml-2","707.85","145.44","360.01","90.34","167.07","153.67","27.81","31.09","117.89","42.19","85.77","8.23","14.56","14.49","29.88","96.11","12.67","6.2","2282","38.5","38.2","4.11","7.1","0.26","0.35","0.89"
