"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"100_50ml-1","708.62","138.74","337.34","84.43","159.58","138.94","24.17","25.77","93.62","34.28","62.83","7.15","12.13","12.88","24.76","62.97","11.52","6.2","2286","36.1","24.1","2.33","7.03","0.17","0.23","0.59"
"100_50ml-1","683.23","134.92","339.15","86.11","152.09","149.46","20.97","23.73","92.46","33.9","60.84","6.44","12.94","12.88","23.05","62.97","11.52","6.2","2329","38.2","22.5","2","7.42","0.15","0.21","0.53"
"100_50ml-10","680.15","132.04","327.36","81.05","151.34","135.43","23.25","24.54","91.31","33.9","60.84","6.8","12.13","12.88","23.9","62.97","11.52","6.2","2276","36.2","24.1","2.38","7.87","0.17","0.23","0.6"
"100_50ml-10","680.92","134.92","336.43","85.27","152.09","146.66","20.52","23.73","91.31","33.9","61.84","6.44","12.94","12.88","23.05","62.97","11.52","6.2","2273","38.3","22.2","2","6.93","0.15","0.21","0.53"
"100_50ml-2","699.39","136.83","334.62","82.74","157.33","136.83","23.71","25.36","93.62","34.28","60.84","7.15","12.13","12.88","24.76","64.07","11.52","6.2","2270","36.1","24.1","2.34","7.03","0.17","0.23","0.59"
"100_50ml-2","682.46","134.92","338.25","84.43","152.09","145.25","20.52","23.32","90.15","33.9","55.85","6.44","12.94","12.88","23.05","62.97","11.52","6.2","2333","38.2","22.3","2","7.42","0.15","0.21","0.53"
"100_50ml-3","694","135.87","333.71","86.96","155.83","144.55","25.08","26.59","97.09","33.9","56.85","7.15","12.94","12.88","24.76","65.18","11.52","6.2","2284","36.1","24","2.34","7.03","0.17","0.23","0.59"
"100_50ml-3","681.69","134.92","337.34","86.96","152.09","147.36","20.97","23.73","91.31","33.9","61.84","6.44","12.94","12.88","23.05","62.97","11.52","6.2","2338","38.2","22.3","2","7.42","0.15","0.21","0.53"
"100_50ml-4","690.15","134.92","331.9","87.8","155.08","146.66","25.53","27","99.4","33.9","61.84","7.51","12.94","13.69","24.76","67.39","11.52","6.2","2281","36.1","24.1","2.35","7.9","0.17","0.23","0.59"
"100_50ml-4","681.69","134.92","337.34","86.11","152.09","149.46","20.97","23.73","92.46","33.9","61.84","6.44","12.94","13.69","23.05","64.07","11.52","6.2","2324","38.3","22.3","2","7.02","0.15","0.21","0.53"
