"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"102_0ml-1","722.47","144.48","365.45","90.34","174.56","150.87","26.45","32.32","124.83","47.84","81.78","8.59","15.37","14.49","32.44","93.9","14.98","6.2","2634","37.4","0","0","7.91","0","0","0"
"102_0ml-10","721.7","144.48","364.54","92.87","173.81","157.89","27.36","33.13","131.76","47.84","76.8","8.94","16.18","15.3","32.44","97.21","14.98","6.2","2647","37.4","0","0","7.22","0","0","0"
"102_0ml-2","722.47","144.48","365.45","86.11","173.81","145.96","25.53","30.68","121.36","47.84","81.78","8.23","14.56","14.49","32.44","91.69","14.98","6.2","2633","37.4","0","0","7.3","0","0","0"
"102_0ml-3","721.7","144.48","364.54","95.4","173.81","162.8","28.27","34.36","135.23","47.84","81.78","9.3","16.18","15.3","32.44","99.42","14.98","7.08","2631","37.4","0","0","7.3","0","0","0"
"102_0ml-4","722.47","144.48","365.45","96.25","173.81","164.2","28.73","34.36","136.38","47.84","80.79","9.3","16.99","16.1","32.44","100.53","14.98","7.08","2715","37.4","0","0","7.3","0","0","0"
"102_0ml-5","722.47","144.48","365.45","95.4","173.81","162.8","28.27","34.36","135.23","47.84","81.78","9.3","16.18","15.3","32.44","100.53","14.98","7.08","2645","37.4","0","0","7.3","0","0","0"
"102_0ml-6","721.7","144.48","364.54","92.87","173.81","157.89","27.36","33.13","130.61","47.84","76.8","8.94","16.18","15.3","32.44","97.21","14.98","6.2","2643","37.4","0","0","7.22","0","0","0"
"102_0ml-7","722.47","144.48","364.54","87.8","173.81","148.76","25.99","31.5","123.67","47.84","81.78","8.59","15.37","14.49","32.44","92.8","14.98","6.2","2644","37.4","0","0","7.22","0","0","0"
"102_0ml-8","721.7","144.48","364.54","92.87","173.81","158.59","27.36","33.54","131.76","47.84","76.8","8.94","16.18","15.3","32.44","97.21","14.98","6.2","2623","37.4","0","0","7.22","0","0","0"
"102_0ml-9","721.7","144.48","364.54","96.25","173.81","164.2","28.73","34.36","136.38","47.84","81.78","9.3","16.18","16.1","32.44","100.53","14.98","7.08","2641","37.4","0","0","7.22","0","0","0"
"104_0ml-1","753.24","157.88","385.4","98.78","190.3","168.41","30.55","36.82","169.9","53.49","106.72","9.66","20.22","19.32","43.54","145.82","16.71","7.08","2646","38.3","0","0","7.97","0","0","0"
"104_0ml-10","752.48","157.88","385.4","98.78","189.55","167.71","30.55","36.82","168.75","53.49","105.72","9.66","19.42","18.52","42.69","145.82","16.71","7.08","2634","38.3","0","0","7.96","0","0","0"
"104_0ml-2","753.24","157.88","385.4","101.31","189.55","172.62","31.01","37.63","174.53","53.49","112.7","10.02","20.22","19.32","43.54","149.14","16.71","7.08","2643","38.3","0","0","7.97","0","0","0"
"104_0ml-3","753.24","157.88","385.4","98.78","190.3","168.41","30.55","36.82","169.9","53.49","105.72","9.66","19.42","18.52","42.69","145.82","16.71","7.08","2645","38.3","0","0","7.97","0","0","0"
"104_0ml-4","753.24","156.92","385.4","98.78","190.3","168.41","30.55","36.82","169.9","52.73","105.72","9.66","19.42","18.52","42.69","145.82","16.71","7.08","2645","38.3","0","0","7.97","0","0","0"
"104_0ml-5","753.24","157.88","385.4","108.07","189.55","185.25","33.29","40.09","186.08","53.49","112.7","10.37","21.03","20.13","42.69","157.97","16.71","7.08","2652","38.3","0","0","7.97","0","0","0"
"104_0ml-6","753.24","157.88","385.4","98.78","190.3","167.71","30.55","36.82","168.75","53.49","105.72","9.66","19.42","18.52","42.69","145.82","16.71","7.08","2666","38.3","0","0","7.97","0","0","0"
"104_0ml-7","753.24","157.88","385.4","108.91","190.3","185.95","33.29","40.5","187.24","53.49","112.7","10.73","21.84","20.93","42.69","157.97","16.71","7.08","2638","38.3","0","0","7.97","0","0","0"
"104_0ml-8","752.48","157.88","385.4","92.02","190.3","155.08","28.27","33.95","156.03","53.49","105.72","8.94","17.8","17.71","42.69","135.88","17.28","6.2","2644","38.3","0","0","7.97","0","0","0"
"104_0ml-9","753.24","157.88","384.49","108.91","190.3","186.66","33.74","40.5","188.39","53.49","113.7","10.73","21.84","20.93","42.69","157.97","16.71","7.08","2643","38.3","0","0","7.96","0","0","0"
"106_0ml-1","782.48","164.58","414.42","119.04","239.74","196.48","26.45","29.86","293.57","42.94","148.61","8.94","29.93","21.74","58.05","205.48","20.74","7.08","2622","35.5","0","0","7.68","0","0","0"
"106_0ml-10","781.71","165.53","416.23","120.73","240.49","196.48","26.9","30.27","292.42","42.94","150.6","9.3","29.93","21.74","58.05","218.73","20.74","7.08","2635","35.5","0","0","7.54","0","0","0"
"106_0ml-2","783.25","165.53","416.23","119.89","240.49","197.88","26.9","30.27","294.73","42.94","149.61","8.94","30.74","21.74","58.05","207.69","20.74","7.08","2633","35.5","0","0","7.68","0","0","0"
"106_0ml-3","782.48","165.53","416.23","119.04","240.49","195.78","26.45","29.86","291.26","42.94","149.61","8.94","29.93","21.74","58.05","205.48","20.74","7.08","2609","35.5","0","0","7.68","0","0","0"
"106_0ml-4","782.48","165.53","416.23","119.89","240.49","197.88","26.9","30.27","293.57","42.94","149.61","8.94","29.93","21.74","58.05","206.58","20.74","7.08","2641","35.5","0","0","7.68","0","0","0"
"106_0ml-5","782.48","165.53","416.23","119.04","240.49","195.08","26.45","30.27","290.11","42.94","150.6","8.94","29.93","21.74","58.05","204.37","20.74","7.08","2610","35.5","0","0","7.55","0","0","0"
"106_0ml-6","782.48","165.53","416.23","115.66","241.24","190.87","25.99","29.04","283.17","43.32","142.62","8.59","29.12","20.93","58.05","201.06","20.74","7.08","2625","35.5","0","0","7.55","0","0","0"
"106_0ml-7","781.71","165.53","416.23","115.66","240.49","190.87","25.99","29.04","283.17","42.94","142.62","8.59","29.12","20.93","58.05","201.06","20.74","7.08","2632","35.5","0","0","7.55","0","0","0"
"106_0ml-8","782.48","165.53","416.23","115.66","241.24","190.87","25.99","29.45","283.17","43.32","142.62","8.59","29.12","20.93","58.05","201.06","20.74","7.08","2627","35.5","0","0","7.55","0","0","0"
"106_0ml-9","782.48","165.53","416.23","119.89","240.49","196.48","26.45","30.27","292.42","42.94","149.61","8.94","29.93","21.74","58.05","205.48","20.74","7.08","2637","35.5","0","0","7.54","0","0","0"
